Fonts/Grobold_42_Outline2.png
-50,40
1728,850
16,16,81,133
103,16,80,133
189,16,72,133
267,16,120,133
393,16,96,133
495,16,88,133
589,16,114,133
709,16,63,133
778,16,73,133
857,16,73,133
936,16,75,133
1017,16,99,133
1122,16,64,133
1192,16,76,133
1274,16,61,133
1341,16,86,133
16,155,100,133
122,155,85,133
213,155,100,133
319,155,98,133
423,155,96,133
525,155,92,133
623,155,95,133
724,155,92,133
822,155,95,133
923,155,94,133
1023,155,64,133
1093,155,67,133
1166,155,87,133
1259,155,100,133
1365,155,87,133
1458,155,103,133
16,294,107,133
129,294,119,133
254,294,100,133
360,294,106,133
472,294,102,133
580,294,91,133
677,294,92,133
775,294,111,133
892,294,101,133
999,294,74,133
1079,294,92,133
1177,294,98,133
1281,294,90,133
1377,294,121,133
1504,294,102,133
1612,294,110,133
16,433,99,133
121,433,110,133
237,433,99,133
342,433,97,133
445,433,91,133
542,433,97,133
645,433,111,133
762,433,127,133
895,433,111,133
1012,433,111,133
1129,433,111,133
1246,433,66,133
1318,433,73,133
1397,433,66,133
1469,433,81,133
1556,433,93,133
16,572,65,133
87,572,93,133
186,572,97,133
289,572,91,133
386,572,96,133
488,572,93,133
587,572,80,133
673,572,92,133
771,572,90,133
867,572,68,133
941,572,76,133
1023,572,90,133
1119,572,69,133
1194,572,111,133
1311,572,89,133
1406,572,97,133
16,711,96,133
118,711,97,133
221,711,82,133
309,711,83,133
398,711,77,133
481,711,89,133
576,711,92,133
674,711,111,133
791,711,94,133
891,711,90,133
987,711,87,133
1080,711,72,133
1158,711,58,133
1222,711,72,133
1300,711,89,133
